est_number,company,street,city,st,zip,phone,grant_date,activities,dbas
M20999+P20999,"La Boucherie, Inc.",3323B FM 1960 West,Houston,TX,77068,(281) 583-8177,2009-05-26,"Meat Processing, Poultry Processing",
M21356+P21356,La Buona Pasta,1781 B West 32nd Place,Hialeah,FL,33012,(305) 889-2989,2009-08-17,"Meat Processing, Poultry Processing","Jim Group; Jim Group, Inc."
M11181+P11181,"La Casa Sierra & Associetes, Inc.",6712 Hwy. 674 East,Wimauma,FL,33598,(813) 598-0094,2011-10-18,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M4827+P4827,"La Espanola Meat, Inc.",25020 Doble St.,Harbor City,CA,90710,(310) 539-0455,1995-07-03,"Meat Processing, Poultry Processing",
M17526+P17526,La Favorita Food Processing,9330 Brighton Blvd.,Henderson,CO,80640,(303) 295-1625,2003-03-03,"Meat Processing, Poultry Processing",Mexico Foods TM
M4651+P4651,La Frieda Meats Co.,3701 Tonnell Avenue,North Bergen,NJ,7047,(212) 929-2420,2014-11-17,"Meat Processing, Poultry Processing",La Frieda Wholesale; Pat La Frieda Meats
M38463+P38463,La Indi Poultry,15268 Proctor Ave Unit B,City of Industry,CA,91746,(626) 371-6766,2009-02-04,"Meat Processing, Poultry Processing",
M40312+P40312,La mina Meat& Provisions Corp.,119 Stockholm Street,Brooklyn,NY,11221,(718) 453-2626,2013-09-26,"Meat Processing, Poultry Processing",
M20435A+P20435A,La Molisana,305 Congress Ave,Waterbury,CT,6708,(203) 574-1272,2008-10-23,"Meat Processing, Poultry Processing",
M20435+P20435,La Molisana Sausage Company LLC,350 Congress Ave,Waterbury,CT,6708,(203) 574-1272,2012-03-08,"Meat Processing, Poultry Processing",
M11145+P11145,La Montina Inc D/B/A El Tigre,1445 NW 22nd Street,Miami,FL,33142,(305) 324-0083,1999-08-20,Meat Processing,D.B.A./EL Tigre Meat  & Provisions; El Tigre Meat; El Tigre Meat & Provisions
M45175,La Pachanga Foods Inc.,708 'L' Street,Modesto,CA,95354,(209) 499-1420,2016-04-27,Meat Processing,
M32064+P32064,LA PASTA INC,2727 Pittman Drive,Silver Spring,MD,20910,(301) 588-1111,2006-08-18,"Meat Processing, Poultry Processing",
M31797,"La Quercia, LLC",400 Hakes Drive,Norwalk,IA,50211,(515) 981-1625,2006-06-21,Meat Processing,
M45725+P45725,La Sultana Meats LLC,"Calle Pablo Casals #74 Plaza del Mercado Local 27, 28, 29",Mayaguez,PR,680,(787) 538-1287,2016-10-13,"Meat Processing, Poultry Processing",
M34393+P34393,La Terra Fina,1300 Atlantic Street,Union City,CA,94578,(510) 404-5888,2008-02-20,"Meat Processing, Poultry Processing",
M2382+P2382,Labatt Direct Source Meats Albuquerque,221 Airport Dr. NW,Albuquerque,NM,87121,(505) 831-1411,2016-12-16,"Meat Processing, Poultry Processing",Labatt Food Service LLC; Labatt New Mexico LLC
M11134,Lacoronela Meat Processing,9566 NW 7th Ave.,Miami,FL,33150,(305) 691-2630,1997-12-19,Meat Processing,
M8083+V8083,Laird Sheep Co.,301 East 4th Street,Benton,KY,42025,(270) 527-3821,1995-03-27,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Gregory's Slaughter House; Laird Meat Co
M4079+P4079,LaJo Genuine Italian Inc.,1101 8th Avenue,Altoona,PA,16602,(814) 942-1452,2015-02-09,"Meat Processing, Poultry Processing",
M19490+P19490,Lake Erie Frozen Foods Mfg. Co.,1830 Nankin Rd.,Ashland ,OH,44805,(419) 289-9204,1995-08-14,"Meat Processing, Poultry Processing",
P45379,Lake Foods,355 Industrial Park Rd,Hartwell,GA,30643,(770) 376-8003,2016-07-15,Poultry Processing,Cedar Creek Farms; Coleman; House of Raeford; Perdue; Stoney Creek Foods; Watson Ridge; Waukamountain
M5648+P5648+V5648,"Lake Geneva Country Meats, Inc",5907 State Road 50 East,Lake Geneva,WI,53147,(262) 248-3339,2001-02-13,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Slaughter - Meat",
M45599+P45599+V45599,"Lake Haven Custom Meat Processing, LLC",92850 Military Road,Sturgeon Lake,MN,55783,(218) 372-8300,2015-07-29,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry, Voluntary Slaughter - Rabbit",
M48150,Lakes Farm Raised Catfish Inc,10280 Old Hwy 61 South Box 67,Dundee,MS,39626,(662) 363-1847,2016-01-25,"Meat Processing, Meat Slaughter",
M1701+P5625,"Lakeside Foods, Inc.",1055 West Broadway,Plainview,MN,55964,(507) 534-3141,1992-05-12,"Meat Processing, Poultry Processing",
M34414+P34414,Lakeside Meats,206 S Main,Carlsbad,NM,88220,(505) 887-3646,2007-08-15,Meat Processing,
I26,Lakeside Refrigerated Services,2600 Oldmans Creek Road,Swedesboro,NJ,8085,(650) 813-1300,2014-09-19,Imported Product,
M46841+P46841,Lakeside Refrigerated Services,2600 Oldmans Creek Road,Swedesboro,NJ,8085,(650) 813-1300,2014-04-29,"Meat Processing, Poultry Processing",
M5952+P5952,Lamberti Packing Company Inc.,207 Food Terminal Plaza,New Haven,CT,6511,(203) 562-0436,2015-12-22,"Meat Processing, Poultry Processing",
M4367+P4367,"Lancaster Quality Pork, Inc.",5600 First Ave. Bldg B-6,Brooklyn,NY,11220,(718) 439-8822,2005-10-24,Meat Processing,Diamond Cut Pork; Lancaster Meats; Pork Packers
M31763+P31763,Land Mark Products Inc.,Land Mark Products Inc. 2084 220th Street,Milford,IA,51351,(712) 338-2832,2004-03-08,"Meat Processing, Poultry Processing",
M500+P427,Land O' Frost,16850 Chicago Avenue,Lansing,IL,60438,(708) 474-7100,2010-03-19,"Meat Processing, Poultry Processing",
M500R+P2535,"Land O' Frost, Inc.",10109 Columbia Ave,Munster,IN,46321,(708) 474-7100,,"Meat Processing, Poultry Processing",
M500A+P501+V500A,"Land O'Frost, Inc",911 Hastings Avenue,Searcy,AR,72143,(501) 268-2473,2007-02-15,"Certification - Export, Meat Processing, Poultry Processing",
M500K+P500K,"Land O'Frost, Inc.",3295 Nebo Rd.,Madisonville,KY,42431,(270) 326-4300,2010-02-09,"Meat Processing, Poultry Processing",
M18691+P18691,"Landes Fresh Meats, Inc",9476 Haber Rd,Clayton,OH,45315,(937) 836-3613,2013-03-01,"Meat Processing, Meat Slaughter, Poultry Processing",
M21480B+P21480B+V21480B,"LandMark Snacks, LLC",700 Park St.,Beatrice,NE,68310,(402) 793-5820,2016-03-18,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Rabbit",BlueValleyBrand; C & C Processing
M7622+V7622,"Langdon Locker, LLC",324 6th St.,Langdon,ND,58249,(701) 256-2496,2002-06-05,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
V21598,Lanier Cold Storage,3801 Cornelia Highway,Lula,GA,30554,(770) 869-7100,2008-07-29,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V45395,"Lanier Cold Storage, LLC",1161 Candler Highway,Gainesville,GA,30507,(770) 869-7100,2014-04-22,"Certification - Export, Identification - Poultry, Off-Premise Freezing - Poultry",
M13479,Lao Chareune,1105 South Walton Walker Blvd.,Dallas,TX,75211,(214) 330-5995,2015-09-11,Meat Processing,
M32056+P32056,"Lao Khitsada Food, Inc.","11540 E. Washington Blvd., Suite A",Whittier,CA,90606,(562) 692-3943,2005-04-20,"Meat Processing, Poultry Processing",
M21750+P21750,Lao Thai Nam,4444 West Illinois Avenue Suite 400,Dallas,TX,75211,(214) 331-1219,2003-01-24,Meat Processing,Number One Meat Ball Company
M21012+P21012,Lapid Food Inc,525 N. Howard St,Covina,CA,91722,(626) 732-4628,2009-07-10,"Meat Processing, Poultry Processing",
I42,Laredo Cold Storage,1130 Black Diamond Circle,Laredo,TX,78045,(956) 267-9928,2015-04-14,Imported Product,
V48125,Laredo Cold Storage LLC,1130 Black Diamond Circle,Laredo,TX,78045,(956) 267-9928,2015-06-09,"Certification - Export, Identification - Meat, Identification - Poultry",
M5976,LaRosa Products Inc,94 Brown St,Hartford,CT,6114,(860) 296-1909,1997-09-22,Meat Processing,
M18727+P18727,"Larry Kline Wholesale Meats, Inc.",350 Goolsby Blvd,Deerfield Beach,FL,33442,(954) 420-0071,2016-06-22,"Meat Processing, Poultry Processing",
M40359+P40359+V40359,Larry's Custom Meats Inc.,3487 State Highway 205,Hartwick,NY,13348,(607) 293-7927,2015-06-23,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M8305,"Larry's Sausage Co., Inc.",1624 Middle River Loop,Fayetteville,NC,28312,(910) 483-5148,2005-01-24,"Meat Processing, Meat Slaughter",
M9443+P9443+V9443,LaRue Meat Processing,1908 Water Level Road,Somerset,PA,15501,(814) 445-7229,2008-12-09,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M11132+P11132,Las Americas Frozen Foods Inc,2181 N W 10th Ave,Miami,FL,33127,(305) 326-9300,2002-06-20,"Meat Processing, Poultry Processing",
M18537+P18537,Latham Meat Market,689 New Loudon Road,Latham,NY,12110,(518) 783-1829,1992-05-29,"Meat Processing, Poultry Processing",
M34126+P34126,Latin Flavors Enterprise Inc.,4801 N.W. 128 Street,Opa Locka,FL,33054,(305) 688-7601,2011-01-25,"Meat Processing, Poultry Processing",
M4692+P4692,Latina Boulevard Foods,1 Scrivner Drive,Cheektowaga,NY,14227,(716) 656-8400,2016-08-31,"Meat Processing, Poultry Processing",
M9823+P9823,Laudermilch Meats Inc,724 West Main Street,Annville,PA,17003,(717) 867-1251,2015-06-24,"Meat Processing, Poultry Processing",
M9730+P9730,Laurel Hill Provison Inc,1 Brewery Lane,Greensburg,PA,15601,(724) 834-1660,1993-08-16,"Meat Processing, Poultry Processing",
M6407+P6407+V6407,"Laurienti & LaBate Meat, Inc.",7326 North Washington Street,Denver,CO,80229,(303) 287-7277,1993-12-15,"Meat Processing, Voluntary Processing - Meat",Paisano Sausage Co
M7331+P7331,Law's Market,213 South 10th Street,Clarksville,TN,37040,(931) 647-5383,2004-11-29,"Meat Processing, Poultry Processing",
M31879,"Lawry's Wholesale, Inc.",2164 US 41 West,Marquette,MI,49855,(906) 226-5040,2005-02-09,Meat Processing,
M34227+P34227,Lawson Foods Inc.,145 40th Street,Irvington,NJ,7111,(973) 375-2300,2009-09-15,"Meat Processing, Poultry Processing",
M6572+P6572,Lawson Institutional Foods,6505 Mt. Zion Road,Waco,GA,30182,(770) 834-1124,1999-07-28,"Meat Processing, Poultry Processing",
M13342+P13342,Laxson Provision Company,264 W. LaChappelle,San Antonio,TX,78204,(210) 226-8397,2002-09-18,"Meat Processing, Poultry Processing",Alamo Brand; The Laxson Company; Tio Mario's
M45081,Leader Meats Slaughterhouse LLC,1877 N. Imler Valley Road,Imler,PA,16655,(814) 239-0182,2014-10-30,"Meat Processing, Meat Slaughter",Leader Meats
M21660+P21660,Lechi Enterprises LLC,10625 W. Fairmont Parkway,LaPorte,TX,77571,(281) 470-6200,2012-07-10,"Meat Processing, Poultry Processing",Lechi Foods
M39898+P39898,Lecoq Cuisine Corporation,35 Union Ave,Bridgeport,CT,6607,(203) 334-1010,2009-05-05,"Meat Processing, Poultry Processing",
M2580+P2580+V2580,Ledebuhr Meat Processing Inc.,5645 W. 6th St.,Winona,MN,55987,(507) 452-7440,2013-07-31,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M31822+P31822,"Lee & Davis Meats, LLC",4794 Albany Hwy.,Waycross,GA,31503,(912) 283-2978,2015-09-09,"Meat Processing, Poultry Processing",
M9687+P9687+V9687,Lee Bixler's Country Meats,1585 East Mountain Street,Hegins,PA,17938,(570) 682-3449,2008-08-07,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M11041+P11041,"Lee Brothers Foodservicves, Inc.",660 East Gish Rd.,San Jose,CA,95113,(408) 275-0700,2007-11-13,Meat Processing,
P20958+V20958,Lee Kum Kee (USA) Foods Inc.,14455 Don Julian Road,City of Industry,CA,91746,(626) 336-3886,2001-03-20,"Certification - Export, Identification - Poultry, Poultry Processing, Voluntary Processing - Poultry",
M12453+P12453,"Lee's Chop Suey, Inc.",53 W. Lanikaula Street,Hilo,HI,96720,(808) 961-6742,1995-10-23,Meat Processing,
M18169+P18169+V18169,"Lee's Meats & Sausage, Inc.","Lee's Meats & Sausage, Inc. 46754 271st Street",Tea,SD,57064,(605) 368-2161,2002-11-22,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat",
M21544+P21544,Lee's Oriental Gourmet Inc.,99 E Washington Street,Shenandoah,PA,17976,(570) 462-9505,2013-02-20,"Meat Processing, Poultry Processing",
M18361+P18361,"Leeann Chin, Inc.",1132 East Highway 13,Burnsville,MN,55337,(952) 890-9012,2007-06-12,"Meat Processing, Poultry Processing",
M40059+P40059,"Legendary Meats, LLC",1306 Cobb Industrial Drive Suite 103,Marietta,GA,30066,(678) 403-3800,2009-10-23,"Meat Processing, Poultry Processing",
M45160+V45160,Lehigh Valley Meats LLC,6092 Sullivan Trail,Nazareth,PA,18064,(610) 759-4540,2016-01-14,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M9520+P9520,"Leidys, Inc.",266 West Cherry Lane,Souderton,PA,18964,(215) 723-4606,2016-10-11,"Meat Processing, Meat Slaughter, Poultry Processing","Alderfer, LLC; ALL Holding Company, LLC"
V40223A,LeMars Public Storage #3,1512 24th St. SW,LeMars,IA,51031,(712) 546-1644,2015-04-03,"Certification - Export, Identification - Poultry",
V40233,LeMars Public Storage Inc.,1889 24thSt. SW,LeMars,IA,51031,(712) 546-1644,2015-02-20,"Certification - Export, Identification - Poultry",LeMars Public Storage
M4841+P4841,"Lomas Enterprise, Inc",4158 E. Cesar E. Chavez Ave,Los Angeles,CA,90063,(323) 262-2185,2010-06-21,"Meat Processing, Poultry Processing",Rex Meat Co.
M9542+P9542+V9542,Lemay and Sons Beef,126 Daniel Plummer Road,Goffstown,NH,3045,(603) 622-0022,2011-04-12,"Meat Slaughter, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M21565+P21565,Leon Nixon Catering,765 Virginia Road,Edenton,NC,27932,(252) 482-5660,2001-03-23,Meat Processing,
M765+P213,Leon's Fine Foods,2100 North Redbud Blvd.,McKinney,TX,75069,(972) 529-5050,2010-02-08,"Meat Processing, Poultry Processing",Leon's Texas Cuisine
M9784+P9784+V9784,Leona Meat Plant Inc,1961 Leona Road,Troy,PA,16947,(570) 297-3574,2012-02-21,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M8501+P8501+V8501,"Leonetti's Food Distributors, Inc.",5935 Woodland Avenue,Philadelphia,PA,19143,(215) 729-4200,2016-05-02,"Food Inspection, Meat Processing, Poultry Processing","Leonetti's Frozen Foods, Inc."
M6352+P6352,"Leroux Meats and Deli, Inc.",624 Main St.,Holden,MA,1520,(978) 464-2930,2010-12-28,"Meat Processing, Poultry Processing",Leroux Inc.; Leroux Meats Inc.; Roma Sausage Products
M1393+P836,Les Chateaux DeFrance Inc,1 Craft Avenue,Inwood,NY,11096,(516) 239-6795,2013-07-08,"Meat Processing, Poultry Processing",
M19056+P19056,"Let's Do Lunch, Inc.",310 West Alondra Blvd.,Gardena,CA,90248,(310) 523-3664,2004-03-02,"Meat Processing, Poultry Processing",
M4049+P4049,Levan Bros.,620 Telegraph Road,Coatesville,PA,19320,(610) 383-7680,2011-03-09,"Meat Processing, Poultry Processing",
M8001+P8001,"Lewis Sausage Co., Inc.","1050 Old Savannah Rd., South",Burgaw,NC,28425,(910) 259-2642,2005-09-22,"Meat Processing, Poultry Processing",
P19375,"Lewis Turkey Farm, Inc.",961 Thurman Road,Oak Hill,OH,45656,(740) 682-7470,1995-10-23,"Poultry Processing, Poultry Slaughter",
M4177+P4177,"Leyen Food, LLC",16015 Phoenix Dr.,City of Industry,CA,91745,(626) 333-8812,2009-11-24,"Meat Processing, Poultry Processing",D & D poultry LLC
M2980+P2980,LG Foods LLC,180 S. Darrington Road,El Paso,TX,79928,(915) 852-1902,2012-05-10,"Meat Processing, Poultry Processing",
M18548+P18548,"Li Chuen Company, Inc.",861 Grand Street,New York,NY,11211,(718) 302-8888,2013-02-07,"Meat Processing, Poultry Processing",
M9572+P9572,Liberal Beef Company,10 West Terrace Street,Claremont,NH,3743,(603) 542-2391,1986-03-04,"Meat Processing, Poultry Processing",
M5210+P5210,Liberty Bell Steak Co,3457 Janney Street,Philadelphia,PA,19134,(215) 537-4797,2009-07-08,"Meat Processing, Poultry Processing",
M45431D+P45431D,Liberty Cold Storage,1310 Remington Blvd.,Bolingbrook,IL,60490,(630) 866-2700,2016-07-06,"Meat Processing, Poultry Processing",
V45431D,Liberty Cold Storage,1310 Remington Blvd.,Bolingbrook,IL,60490,(630) 866-2700,2016-02-29,"Food Inspection, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V45969,Liberty Express Miami DBA USA Fish Handlers,3555 NW 77 Ave,Miami,FL,33122,(786) 641-5198,2016-10-24,"Certification - Export, Identification - Meat",
M48137,Liberty Food and Wine Exchange,100 N. Sierra #100,Reno,NV,89501,(775) 336-1091,2016-08-16,Meat Processing,
M45169+P45169,Liberty USA Division of Eby-Brown,920 Irwin Run Road,West Mifflin,PA,15122,(412) 461-2700,2016-06-07,"Meat Processing, Poultry Processing",
M5452,Licini Brothers Food Company LLC,907 West Street,Union City,NJ,7087,201865113,2004-07-12,Meat Processing,Licini Bros. Provisions
M19009+P19009,LiDestri Foods Inc.,568 S. Temperance,Fresno,CA,93727,(559) 251-1000,2004-09-15,"Meat Processing, Poultry Processing",
M18002+P20243+V18002,"LiDestri Foods, Inc.",815 W Whitney Road,Fairport,NY,14450,(585) 377-7700,2004-03-05,"Certification - Export, Meat Processing, Poultry Processing",
M44126+P44126+V44126,"LiDestri Foods, Inc.",1020 Lee Road,Rochester,NY,14606,(585) 377-7700,2014-06-19,"Certification - Export, Meat Processing, Poultry Processing",
M17999A+P17999A,Lighthouse Soups and Chowders,85 Newmarket Square,Boston,MA,2125,(617) 541-9046,2016-11-23,"Meat Processing, Poultry Processing","Boston Salads and Provisions Co., Inc."
M15747+P15747,"Liguria Foods, Inc.",1515 N 15th St,Humboldt,IA,50548,(515) 332-4121,2016-05-25,"Meat Processing, Poultry Processing",
M9640+P9640+V9640,Lil' Ponderosa Abbatoir @ Rosenberry's,1711 Gabler Road,Chambersburg,PA,17201,(717) 264-6787,2011-08-02,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M18766+P18766,"Lilly's Gastronomia Italian of Florida, Inc",18330 NE 2nd Avenue,Miami,FL,33179,(305) 655-2111,2004-08-05,"Meat Processing, Poultry Processing",
M40216+P40216,Lilly's Gastronomia Italiana Inc.,208 Main St,Everett,MA,2149,(617) 387-9666,2010-03-16,"Meat Processing, Poultry Processing",
M11110,Limestone Meathouse,305 Limestone Road,Monticello,FL,32344,(850) 997-4446,2002-09-23,Meat Processing,
M5268+P5268,Lincoln Packing LLC,7 Industrial Road,Cranston,RI,2920,(401) 943-0878,2016-07-27,"Meat Processing, Poultry Processing",Marcello Sausage Company
M1077+P1077,"Lincoln Provision, Inc",824 W. 38th Place,Chicago,IL,60609,(773) 254-2400,2011-07-01,"Meat Processing, Poultry Processing",Chicago Gourmet Steaks; Lincoln International ; Rolling Hills Family Farms
M18746+P18746,"Lindsay Foods, Inc.",2211 West National Ave.,Milwaukee,WI,53204,(414) 649-2500,2003-10-28,"Meat Processing, Poultry Processing",
V19742,"Lineage Columbia, LLC",1625 Down River Drive,Woodland,WA,98674,(360) 225-2100,2015-05-21,"Certification - Export, Identification - Meat, Identification - Poultry",
I45,Lineage Logistics,7748 Palmetto Commerce Pkwy,North Charleston,SC,29420,(757) 617-9587,2016-06-30,Imported Product,Lineage Logistics
M18435+P18435+V18435,Lineage Logistics,16271 Hwy 87 West,Tar Heel,NC,28392,(910) 862-7494,2012-07-19,"Certification - Trichinae, Identification - Meat, Off-Premise Freezing - Meat",
V19111B,Lineage Logistics,235 NW Industrial Blvd.,Macon,GA,31216,(478) 781-6565,2012-08-30,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V3610,Lineage Logistics DBA Millard Refrigerated Services,3105 E. Trail Rd.,Dodge city,KS,67801,(620) 225-7200,2014-11-25,"Certification - Cysticercus, Certification - Export, Identification - Meat",
V40008,Lineage Logistics ICM LLC,450 Central Avenue,University Park,IL,60484,(708) 587-3600,2013-07-24,"Certification - Export, Identification - Meat, Identification - Poultry",
M20179+P20179+V20179,"Lineage Logistics ICM, LLC",2551 S Lilac Ave,Bloomington,CA,92316,(909) 874-1200,2016-03-03,"Identification - Meat, Identification - Poultry",Inland Cold Storage; Linage
V13535,Lineage Logistics LLC,10500 Railroad Drive,El Paso,TX,79924,(915) 821-7394,2016-08-29,"Certification - Export, Identification - Meat, Identification - Poultry",
M7714,Lonardo's Italian Sausage,7585 W. Florida Ave.,Lakewood,CO,80232,(303) 985-3555,1983-09-02,Meat Processing,
M3144+P3144+V3144,"Lineage Logistics, LLC",8001 E. 88th Ave.,Henderson,CO,80640,(303) 288-7211,2014-06-04,"Certification - Export, Identification - Meat, Identification - Poultry",Millard Refrigerated Services
V17223,"Lineage Logistics, LLC",1251 Kingsland Dr.,Batavia,IL,60510,(630) 406-9532,2015-11-24,"Certification - Export, Identification - Meat, Identification - Poultry",
V18064,"Lineage Logistics, LLC",209 Industrial Blvd,Attalla,AL,35954,(256) 538-2653,2014-11-21,"Certification - Export, Identification - Meat, Identification - Poultry",Millard Refrigerated Services
V18273,"Lineage Logistics, LLC",300 Industrial Park Road,Richland,MS,39218,(601) 936-5954,2014-11-21,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry","Millard Refrigerated Services, Inc."
V19840,"Lineage Logistics, LLC",200 King Mill Road,McDonough,GA,30253,(770) 898-3104,2015-05-01,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V19934,"Lineage Logistics, LLC",3776 Taylorsville Rd. Highway 90,Statesville,NC,28625,(704) 838-1117,2014-12-11,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V20716,"Lineage Logistics, LLC",7201 Winstead Drive,Louisville,KY,40258,(502) 937-5041,2014-11-21,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",Millard Refrigerated Services
V40072,"Lineage Logistics, LLC",367 Long Creek Road,Sunnyvale,TX,78182,(972) 203-8459,2015-01-27,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",Millard Refrigerated Services
M40170+V40170,LINK & CURE LLC,217 E. Main St. #105,Chattanooga,TN,37408,(423) 580-5570,2010-06-24,"Meat Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat",LINK 41; Main Streets Meats
M40277+P40277,Link Lab Artisan Meats LLC,559 NE 80th Street,Seattle,WA,98115,(206) 660-5182,2014-12-11,"Meat Processing, Poultry Processing",
M5528+P5528,"Link Snacks, Inc.",3302 Harlan Lewis Rd.,Bellevue,NE,68005,(402) 293-6600,2005-11-09,"Meat Processing, Poultry Processing",Link Snacks Inc.
M39895,"Lioni Latticini, Inc.",555 Lehigh Avenue,Union,NJ,7083,(908) 686-6061,2010-09-03,Meat Processing,
M44809+P44809,Lionshare LLC,213 E. Hamilton Street,Houston,TX,77076,(281) 888-5383,2012-07-31,"Meat Processing, Poultry Processing",
M9900,Lipari's Sausage Inc.,220 Sixth Avenue,Hawthorne,NJ,7506,(973) 304-0137,2001-11-23,Meat Processing,
M219+P219,"Lisbon Sausage Co., Inc.",433 South Second St,New Bedford,MA,2741,(508) 993-7645,2011-10-11,"Meat Processing, Poultry Processing",
M5985+P5985,Litchfield Prime Meats & Provisions LLC,205 East Street,Litchfield,CT,6759,(860) 567-5448,2011-08-05,"Meat Processing, Poultry Processing",Litchfield Locker; LL Provisions
M45885,Little Bit Jerky,"4020 Rhea Rd., Suite 4A",Wichita Falls,TX,76308,(940) 285-5573,2016-09-29,Meat Processing,
M8030B+P8030B,Little Kentucky Smokehouse,400 T. Frank Wathen Rd.,Uniontown,KY,42461,(270) 822-4350,2014-10-01,Meat Processing,
M15815A+P15815A+V15815A,Little Lady Foods,1910 Swanson Court,Gurnee,IL,60031,(847) 631-3585,2003-06-16,"Certification - Export, Food Inspection, Meat Processing, Poultry Processing",
M15815B+P15815B+V15815B,"Little Lady Foods, Inc.",2241 Pratt Blvd.,Elk Grove Village,IL,60007,(847) 631-3500,2001-09-07,"Certification - Export, Food Inspection, Meat Processing, Poultry Processing",
M15815+P15815,"Little Lady Foods, Inc.",2323 Pratt Blvd.,Elk Grove Village ,IL,60007,(847) 631-3500,2000-12-04,"Meat Processing, Poultry Processing",
M18988+P18988,Little Town Jerky Co Inc.,6555 South Cedar Street,Falmouth,MI,49632,(231) 826-4222,2003-01-24,"Meat Processing, Poultry Processing",
I154,"Livingston International, Inc.",472 5th Street South,Pembina,ND,58271,(701) 825-1313,2016-06-21,Imported Product,"Norman G. Jensen, Inc."
M20249,Livingston's Meat Processing,8485 Greenville Road,Hopkinsville,KY,42240,(270) 269-2333,2008-11-06,"Meat Processing, Meat Slaughter",
M9581,Livingston's Packing Co.,7648 Linesville Road,Jamestown,PA,16134,(724) 927-2255,2004-05-17,"Meat Processing, Meat Slaughter",
M40203,LJ's Beef Jerky LLC,20 Main Avenue Unit 1,Sacramento,CA,95838,(916) 779-0375,2010-06-16,Meat Processing,
M6266+P6266+V6266,"LJD Holdings, Inc.",3491 S. TK Ave.,Boise ,ID,83705,(208) 344-1183,2002-10-23,"Certification - Export, Meat Processing, Poultry Processing, Voluntary Processing - Meat",B&D Foods
M45182,Llano Seco Meats,47 Loren Avenue,Chico,CA,95928,(530) 342-0839,,Meat Processing,
M1879+P1879+V1879,"Lloyd's Barbeque Company, LLC",1455 Mendota Heights Road,St. Paul,MN,55120,(651) 688-6000,1997-05-01,"Certification - Export, Meat Processing, Poultry Processing",Hormel Foods Corporation
M45494+P45494,"Lloyd's Speedstop, Inc.",83 Buol Rd.,West Salem,WI,54669,(608) 786-2888,2016-08-25,"Meat Processing, Poultry Processing",Lloyd's Pizza
M32141+P32141,"Lo Yumhmie Foods, LLC",901 West Wisconsin Avenue Suite B,Appleton,WI,54914,(920) 882-9839,2014-07-14,"Meat Processing, Poultry Processing",
M8565,Locker Plant LLC,422 E South Street,Everett,PA,15537,(814) 652-2714,2008-08-05,"Meat Processing, Meat Slaughter",
